,name,nick_name,fight_record,height,weight,reach,stance,DOB
2455,Reza Nasri,,2-1-0,"5' 11""",205 lbs.,--,Orthodox,--
2456,John Halverson,The Hurricane,16-7-0 (1 NC),"5' 9""",155 lbs.,--,Southpaw,"Sep 08, 1972"
2457,Levan Makashvili,The Hornet,10-2-1,"5' 8""",145 lbs.,"68""",Orthodox,"Jan 07, 1989"
2458,Kyung Ho Kang,Mr. Perfect,15-8-0 (1 NC),"5' 9""",135 lbs.,"73""",Orthodox,"Sep 09, 1987"
2459,Andre Santos,Chatuba,38-10-0,"6' 0""",170 lbs.,--,,--
2460,Amanda Cooper,ABC,4-5-0,"5' 3""",115 lbs.,"64""",Switch,"Oct 22, 1991"
2461,Ryuki Ueyama,,11-13-5 (1 NC),"5' 11""",180 lbs.,--,Southpaw,"Apr 17, 1976"
2462,Chad W. Saunders,,7-2-0,"5' 10""",170 lbs.,--,Orthodox,--
2463,Matt Ramirez,The Machine,2-3-0,"5' 5""",125 lbs.,--,,--
2464,Rafael Fiziev,Ataman,5-0-0,"5' 8""",155 lbs.,--,,--
2465,Mason Fowler,,2-0-0,"5' 11""",170 lbs.,--,,--
2466,Jonathan Wiezorek,,11-2-0,"6' 3""",250 lbs.,--,Southpaw,"Feb 10, 1978"
2467,Eric Esch,Butterbean,14-10-1,"5' 11""",350 lbs.,--,Orthodox,"Aug 03, 1968"
2468,Paul Song,,2-1-0,--,185 lbs.,--,,--
2469,Alex Schoenauer,,15-10-0,"6' 3""",185 lbs.,--,Orthodox,"May 05, 1976"
2470,Ron Henderson,,4-3-0,"5' 10""",125 lbs.,--,,--
2471,Mike Russow,,15-3-0 (1 NC),"6' 1""",255 lbs.,"73""",Orthodox,"Sep 11, 1976"
2472,Anthony Johnson,Rumble,22-6-0,"6' 2""",205 lbs.,"78""",Orthodox,"Mar 06, 1984"
2473,Antonio Duarte,Tigre,15-4-0,"5' 7""",135 lbs.,--,,--
2474,Thomas Longacre,,6-1-0,"5' 9""",145 lbs.,--,Orthodox,--
2475,Gunnar Nelson,Gunni,17-3-1,"5' 11""",170 lbs.,"72""",Switch,"Jul 28, 1988"
2476,Brian Johnston,,5-5-0,"6' 3""",230 lbs.,--,Orthodox,--
2477,Cesar Gracie,,0-1-0,"5' 10""",181 lbs.,--,Orthodox,--
2478,Amaury Bitetti,,5-2-0,"5' 9""",185 lbs.,--,Orthodox,--
2479,Elias Theodorou,The Spartan,17-2-0,"6' 1""",185 lbs.,"75""",Orthodox,"May 31, 1988"
2480,Kazuhisa Watanabe,,0-1-0,"5' 6""",139 lbs.,--,,"May 18, 1983"
2481,Pablo Garza,The Scarecrow,13-4-0,"6' 1""",145 lbs.,"73""",Orthodox,"Sep 16, 1983"
2482,Martin Svensson,Big Swede,14-6-0,"6' 1""",155 lbs.,"72""",,"Apr 25, 1985"
2483,Jenna Castillo,,1-0-0,"5' 2""",125 lbs.,--,,"May 05, 1982"
2484,Maycee Barber,The Future,6-0-0,"5' 5""",115 lbs.,"65""",Switch,"May 18, 1998"
2485,Adam Cella,El Naturel,4-2-0,"6' 2""",170 lbs.,"78""",,"Jun 26, 1985"
2486,Joe Jordan,,49-13-2,"5' 6""",155 lbs.,--,Orthodox,"Jul 27, 1978"
2487,TJ O'Brien,The Spider,16-5-0,"6' 2""",155 lbs.,--,Orthodox,"Jan 01, 1987"
2488,Naoya Ogawa,,7-2-0,"6' 4""",255 lbs.,--,Orthodox,"Mar 31, 1968"
2489,Iouri Kotchkine,,7-4-1,"6' 2""",235 lbs.,--,Orthodox,--
2490,Andre Galvao,,5-2-0,"5' 7""",168 lbs.,--,Orthodox,"Sep 29, 1982"
2491,Wagnney Fabiano,The Silencer,14-3-0,"5' 6""",145 lbs.,"69""",Southpaw,"Jul 14, 1975"
2492,Darren Uyenoyama,BC,8-5-0,"5' 6""",125 lbs.,"64""",Orthodox,"Oct 15, 1979"
2493,Magomed Ankalaev,,10-1-0,"6' 3""",205 lbs.,"75""",Orthodox,"Jun 02, 1992"
2494,Barb Honchak,Little Warrior,10-5-0,"5' 4""",125 lbs.,"65""",,"Aug 30, 1979"
2495,Joe Duarte,,10-3-0,--,155 lbs.,--,,"Jan 25, 1977"
2496,Eric Irvin,,11-4-0,"5' 8""",155 lbs.,--,,"Jan 10, 1986"
2497,Kenny Giddens,,12-7-0,"5' 11""",155 lbs.,--,,--
2498,Chris Brown,,6-4-0,--,170 lbs.,--,,--
2499,Gustavo Gabriel,,13-1-0,"5' 6""",125 lbs.,--,Orthodox,"Apr 01, 1994"
2500,Alberta Cerra Leon,,0-1-0,"5' 8""",238 lbs.,--,,--
2501,Jon Madsen,,7-1-0,"6' 0""",240 lbs.,"72""",Orthodox,"Feb 12, 1980"
2502,Gan McGee,The Giant,13-5-0,"6' 10""",265 lbs.,--,Orthodox,"Nov 20, 1976"
2503,Antonio Braga Neto,,9-3-0 (1 NC),"6' 3""",185 lbs.,"77""",Orthodox,"Oct 29, 1987"
2504,Jordan Dowdy,,2-3-0,--,170 lbs.,--,,--
2505,David Rasouli,,2-3-0,"5' 7""",155 lbs.,--,,--
2506,Jason Tan,,5-3-0,"5' 10""",170 lbs.,--,Orthodox,"Dec 17, 1981"
2507,Keiichiro Yamamiya,,40-27-10,"5' 11""",185 lbs.,--,Southpaw,"Jul 12, 1972"
2508,Gary Goodridge,Big Daddy,23-22-1,"6' 3""",249 lbs.,--,Orthodox,"Jan 17, 1966"
2509,Hisaki Kato,,8-2-0,"6' 0""",185 lbs.,--,,"Sep 17, 1982"
2510,Jeff Cox,The Grinder,10-7-0,"5' 10""",155 lbs.,--,Orthodox,"Aug 02, 1968"
2511,Marcos Galvao,Louro,11-5-1,"5' 7""",135 lbs.,--,Orthodox,"Jun 23, 1981"
2512,Jerry Bohlander,,11-4-0,"5' 11""",199 lbs.,--,Orthodox,"Feb 12, 1974"
2513,Francis Carmont,Limitless,23-10-0,"6' 3""",205 lbs.,"78""",Orthodox,"Oct 11, 1981"
2514,Yokthai Sithoar,,0-1-0,"5' 7""",143 lbs.,--,,"Dec 25, 1974"
2515,Yves Jabouin,Tiger,20-11-0,"5' 7""",135 lbs.,"68""",Orthodox,"May 30, 1979"
2516,Kazuhiro Hamanaka,,5-7-1,"6' 0""",185 lbs.,--,Southpaw,"Oct 24, 1978"
2517,Cale Yarbrough,,8-3-0,"6' 1""",185 lbs.,--,Orthodox,"Dec 27, 1986"
2518,Jakob Lovstad,The Striking Viking,11-4-0,"6' 3""",205 lbs.,--,Orthodox,--
2519,Mike Rhodes,Biggie,6-4-0,"6' 1""",170 lbs.,"74""",Orthodox,"Dec 04, 1989"
2520,Jared Chaffee,,5-2-0,"5' 10""",155 lbs.,--,,"Dec 15, 1984"
2521,Alexander Hernandez,The Great,10-2-0,"5' 9""",155 lbs.,"72""",Orthodox,"Oct 01, 1992"
2522,Rex Holman,Big Dog,4-2-0,"6' 3""",205 lbs.,--,Southpaw,--
2523,George Roop,,15-13-1,"6' 1""",135 lbs.,"72""",Orthodox,"Nov 10, 1981"
2524,Bobby Green,King,24-9-1,"5' 10""",155 lbs.,"71""",Orthodox,"Sep 09, 1986"
2525,Scott Bessac,,4-6-0,"6' 4""",245 lbs.,--,,--
2526,Alptekin Ozkilic,The Turkish Delight,9-4-0,"5' 5""",125 lbs.,"65""",Orthodox,"Mar 27, 1986"
2527,Chris Coggins,,4-1-0,--,--,--,,--
2528,Steve Mensing,The Machine,7-11-2 (1 NC),"5' 11""",185 lbs.,--,Orthodox,"Dec 06, 1977"
2529,Junior Barata,,8-3-1,"5' 10""",170 lbs.,--,Orthodox,"Jan 25, 1982"
2530,Maciej Jewtuszko,Irokez,8-1-0,"6' 0""",155 lbs.,--,Southpaw,"Jan 31, 1981"
2531,Luke Rockhold,,16-4-0,"6' 3""",185 lbs.,"77""",Southpaw,"Oct 17, 1984"
2532,Angelo Trevino,Baby Monsta,7-2-0,"5' 11""",170 lbs.,--,Switch,"Jun 10, 1993"
2533,Alex Dunworth,,2-2-0 (1 NC),"5' 8""",155 lbs.,--,,--
2534,Todd Duffee,,9-3-0,"6' 3""",260 lbs.,"79""",Orthodox,"Dec 06, 1985"
2535,James Barnes,,7-2-0,"5' 8""",145 lbs.,--,,--
2536,Alex Hunter,,2-0-0,"5' 9""",226 lbs.,--,Orthodox,--
2537,Kultar Gill,Black Mamba,10-8-0,"6' 0""",154 lbs.,--,Orthodox,"Mar 24, 1979"
2538,Mal Foki,Twin Tiger,5-5-0,"5' 7""",220 lbs.,--,Orthodox,--
2539,Brian Kelleher,Boom,19-10-0,"5' 6""",135 lbs.,"66""",Switch,"Aug 19, 1986"
2540,Rob Whiteford,The Hammer,12-4-0,"5' 9""",145 lbs.,"69""",Southpaw,"Apr 12, 1983"
2541,David Gomez,,1-2-0,--,155 lbs.,--,,"Aug 08, 1983"
2542,Shane Nelson,Sugar,15-5-0,"5' 9""",155 lbs.,"70""",Southpaw,"Nov 29, 1984"
2543,John Gunderson,Quick Guns,32-12-2,"5' 9""",155 lbs.,"69""",Orthodox,"Jan 05, 1979"
2544,Derek Brunson,,18-7-0,"6' 1""",185 lbs.,"77""",Southpaw,"Jan 04, 1984"
2545,Cody East,The Freight Train,12-3-0,"6' 3""",245 lbs.,"74""",Orthodox,"Jun 29, 1988"
2546,Robbie Lawler,Ruthless,28-12-0 (1 NC),"5' 11""",170 lbs.,"74""",Southpaw,"Mar 20, 1982"
2547,Bradley Scott,Bear,12-6-0,"6' 1""",170 lbs.,"76""",,"Jun 24, 1989"
2548,Jonathan Wilson,Johnny Bravo,7-3-0,"6' 2""",205 lbs.,"75""",Southpaw,"Jul 17, 1987"
2549,Leonardo Santos,Nenhum,16-4-1,"6' 0""",155 lbs.,"75""",Orthodox,"Feb 05, 1980"
2550,Jeff Joslin,The Inferno,5-3-0,"6' 0""",170 lbs.,--,Orthodox,"Apr 30, 1975"
2551,Kazuyuki Fujita,Ironhead,15-9-0,"6' 0""",235 lbs.,--,Orthodox,"Oct 16, 1970"
2552,Sergio Moraes,The Panther,14-4-1,"6' 0""",170 lbs.,"72""",Orthodox,"Jul 23, 1982"
2553,Hector Aldana,El Charro,4-3-0,"5' 11""",170 lbs.,"72""",Orthodox,"Aug 17, 1988"
2554,Federico Lopez,Kiko,5-5-0,"5' 4""",139 lbs.,--,Orthodox,--
2555,Jean Silva,White Bear,18-11-3 (1 NC),"5' 6""",160 lbs.,--,Orthodox,"Oct 08, 1977"
2556,Roy Jones,,6-2-0,--,205 lbs.,--,,"Oct 26, 1983"
2557,Brian Melancon,,7-3-0,"5' 8""",170 lbs.,"72""",Orthodox,"May 28, 1982"
2558,Nandor Guelmino,The Hun,11-5-1,"6' 3""",230 lbs.,"76""",,"Dec 20, 1975"
2559,Matt Wiman,,16-7-0,"5' 10""",155 lbs.,"68""",Orthodox,"Sep 19, 1983"
2560,Alexander Shlemenko,Storm,56-9-0 (1 NC),"5' 11""",185 lbs.,--,,"May 20, 1984"
2561,Wendell Oliveira,The Machine,24-9-0,"5' 10""",170 lbs.,"72""",Orthodox,"Jun 01, 1983"
2562,Sam Watford,,2-2-0,--,155 lbs.,--,,--
2563,Dakota Cochrane,,29-12-0,"5' 8""",155 lbs.,--,,"May 01, 1986"
2564,Louis Gaudinot,Goodnight,6-4-0 (1 NC),"5' 3""",125 lbs.,"63""",Orthodox,"Aug 28, 1984"
2565,Andrei Arlovski,The Pitbull,27-18-0 (1 NC),"6' 3""",240 lbs.,"77""",Orthodox,"Feb 04, 1979"
2566,Ricardo Almeida,Big Dog,13-5-0,"6' 0""",170 lbs.,"74""",Orthodox,"Nov 29, 1976"
2567,Sara McMann,,11-5-0,"5' 6""",135 lbs.,"66""",Orthodox,"Sep 24, 1980"
2568,Marlon Sims,,3-4-0,--,170 lbs.,--,,--
2569,Joe Son,,0-4-0,"5' 4""",236 lbs.,--,Orthodox,"Nov 22, 1970"
2570,Keith Berry,,10-9-1 (1 NC),"6' 1""",185 lbs.,--,,"Oct 25, 1987"
2571,Cody Gibson,The Renegade,12-6-0,"5' 10""",135 lbs.,"71""",Orthodox,"Sep 11, 1987"
2572,Roger Bowling,Relentless,11-5-0 (1 NC),"5' 9""",155 lbs.,"68""",Orthodox,"Dec 05, 1982"
2573,Tom Gallicchio,Da Tank,19-11-0,"5' 10""",170 lbs.,"73""",Southpaw,"Sep 23, 1986"
2574,Masakatsu Funaki,,39-13-1,"6' 0""",185 lbs.,--,Southpaw,"Mar 13, 1969"
2575,Mabelly Lima,,7-1-0,"5' 2""",135 lbs.,--,Orthodox,"Jan 25, 1994"
2576,Benson Henderson,Smooth,23-5-0,"5' 9""",170 lbs.,"70""",Southpaw,"Nov 16, 1983"
2577,Tiki Ghosn,,10-7-1,"5' 10""",170 lbs.,--,Orthodox,"Feb 09, 1977"
2578,Scott Askham,,14-4-0,"6' 3""",185 lbs.,"75""",Southpaw,"May 20, 1988"
2579,Sarah Frota,A Treta,9-1-0,"5' 6""",115 lbs.,"69""",Southpaw,"Apr 14, 1987"
2580,Juan Espino,El Guapo,10-1-0,"6' 4""",250 lbs.,"82""",,"Oct 09, 1980"
2581,Roger Hollett,The Hulk,13-5-0,"5' 11""",205 lbs.,"70""",Orthodox,"Oct 08, 1978"
2582,Niklas Backstrom,,8-2-0 (1 NC),"6' 1""",145 lbs.,"74""",Orthodox,"Aug 22, 1989"
2583,Moise Rimbon,Swamp,18-9-3,"5' 10""",205 lbs.,--,Orthodox,"Apr 20, 1977"
2584,Damian Grabowski,The Polish Pitbull,20-5-0,"6' 1""",241 lbs.,"75""",Orthodox,"May 12, 1980"
2585,Justin Pennington,,2-2-0,"5' 4""",--,--,,--
2586,Giga Chikadze,,5-1-0,"6' 0""",145 lbs.,"72""",Orthodox,"Aug 25, 1988"
2587,Nik Lentz,The Carny,32-9-2 (1 NC),"5' 8""",155 lbs.,"68""",Orthodox,"Aug 13, 1984"
2588,Teemu Packalen,Pacu,8-2-0,"6' 1""",155 lbs.,"72""",Orthodox,"May 22, 1987"
2589,Darrell Horcher,The Saint,13-4-0,"5' 10""",155 lbs.,"70""",Southpaw,"Jul 28, 1987"
2590,Bharat Kandare,Daring,5-3-0,"5' 7""",135 lbs.,"72""",Orthodox,"Jun 20, 1987"
2591,Emilio Chavez,,12-9-0,"5' 9""",145 lbs.,--,,--
2592,Chris Mickle,,28-16-2 (1 NC),"5' 9""",145 lbs.,--,Orthodox,"Jul 10, 1983"
2593,Joel Thomas,The NIce Guy,5-1-0,"5' 10""",170 lbs.,--,,--
2594,Jeremy May,,9-8-0 (1 NC),"6' 1""",185 lbs.,--,,"Oct 23, 1986"
2595,Maurice Mitchell,The AK Kid,11-1-0,"5' 9""",145 lbs.,--,Orthodox,"Jun 29, 1987"
2596,Thibault Gouti,GT,12-5-0,"5' 10""",155 lbs.,"72""",Orthodox,"Feb 27, 1987"
2597,Neil Seery,2Tap,16-13-0,"5' 4""",125 lbs.,"64""",Orthodox,"Aug 30, 1979"
2598,Greg Wilson,,2-2-0,--,155 lbs.,--,,"Oct 02, 1988"
2599,Ricky Legere Jr.,IE Bad Boy,14-4-0,"5' 8""",170 lbs.,--,,--
2600,Jason Reinhardt,,20-3-0,"5' 6""",135 lbs.,--,Orthodox,"Oct 31, 1969"
2601,Jeremy Malaterre,,4-2-0,"5' 11""",155 lbs.,--,,--
2602,Bazigit Atajev,Volk,17-1-0,"6' 1""",230 lbs.,--,Orthodox,--
2603,Muslim Salikhov,King of Kung Fu,14-2-0,"5' 11""",170 lbs.,"70""",Orthodox,"Jun 09, 1984"
2604,Tyler Diamond,,9-2-0,"5' 7""",145 lbs.,"69""",Orthodox,"Mar 18, 1991"
2605,Adam Yandiev,Boroda,9-1-0,"5' 9""",185 lbs.,"74""",Orthodox,"Aug 07, 1988"
2606,Gilbert Yvel,The Hurricane,36-16-1 (1 NC),"6' 2""",225 lbs.,"77""",Orthodox,"Jun 30, 1976"
2607,Philip De Fries,,9-3-0 (1 NC),"6' 5""",250 lbs.,"82""",Orthodox,"Apr 21, 1986"
2608,Daiju Takase,,9-13-2,"6' 0""",170 lbs.,--,Southpaw,"Apr 20, 1978"
2609,Chris Culley,,11-8-0,--,145 lbs.,--,,"Mar 25, 1986"
2610,Andre Roberts,The Chief,14-2-1,"6' 2""",345 lbs.,--,Orthodox,"Feb 24, 1965"
2611,Sergei Kharitonov,,18-5-0,"6' 0""",245 lbs.,--,Orthodox,"Aug 18, 1980"
2612,Tim Williams,The South Jersey Strangler,15-5-0,"6' 2""",185 lbs.,"76""",Orthodox,"Jul 03, 1986"
2613,Jimmy Ambriz,The Titan,15-18-1,"6' 2""",315 lbs.,--,Southpaw,"Jan 26, 1970"
2614,Dale Hartt,,6-3-0,"5' 10""",155 lbs.,"69""",Orthodox,"Apr 04, 1979"
2615,Rashard Lovelace,,4-1-0,--,155 lbs.,--,,--
2616,Masanori Suda,,22-11-3,"5' 9""",183 lbs.,--,Orthodox,--
2617,Nicco Montano,,5-2-0,"5' 5""",125 lbs.,"65""",Southpaw,"Dec 16, 1988"
2618,Poppies Martinez,The Tachi Kid,29-11-0,"5' 9""",145 lbs.,--,,"Aug 19, 1983"
2619,Elvis Mutapcic,The King,15-5-1,"6' 0""",185 lbs.,"72""",Orthodox,"Jul 19, 1986"
2620,Sean Sherk,The Muscle Shark,36-4-1,"5' 6""",155 lbs.,"67""",Orthodox,"Aug 05, 1973"
2621,Kengo Ura,Uraken,10-8-2,"5' 9""",165 lbs.,--,,"Jun 20, 1981"
2622,Kendall Grove,Da Spyder,13-10-0 (1 NC),"6' 6""",185 lbs.,"79""",Orthodox,"Nov 12, 1982"
2623,Eliot Marshall,Fire,10-4-0,"6' 2""",205 lbs.,"77""",Orthodox,"Jul 07, 1980"
2624,Eric Smith,,1-1-0,--,--,--,Southpaw,--
2625,Tim Caron,The Bear,9-1-0 (1 NC),"6' 1""",185 lbs.,--,Orthodox,"Jul 24, 1987"
2626,Kyle Watson,,13-7-1,"6' 0""",155 lbs.,--,,"Aug 09, 1979"
2627,Liz Carmouche,Girlrilla,12-6-0,"5' 6""",125 lbs.,"66""",Orthodox,"Feb 19, 1984"
2628,Justin DeMoney,,13-5-1,--,170 lbs.,--,,"Jul 01, 1985"
2629,Rafael Natal,Sapo,21-9-1,"6' 0""",185 lbs.,"76""",Orthodox,"Dec 25, 1982"
2630,Dennis Hallman,Superman,67-14-2 (1 NC),"5' 9""",155 lbs.,"72""",Orthodox,"Dec 02, 1975"
2631,Ikuhisa Minowa,Minowaman,51-32-8,"5' 9""",181 lbs.,--,Orthodox,"Jan 12, 1976"
2632,Thiago Moises,,11-3-0,"5' 9""",155 lbs.,"70""",Orthodox,"Mar 23, 1995"
2633,Darrill Schoonover,The Boss,11-5-0,"6' 2""",220 lbs.,--,Orthodox,"Jul 18, 1985"
2634,Jason Medina,,21-13-1,"5' 9""",180 lbs.,--,,--
2635,Mark Hunt,Super Samoan,13-14-1 (1 NC),"5' 10""",265 lbs.,"72""",Orthodox,"Mar 23, 1974"
2636,David Branch,,22-5-0,"6' 1""",185 lbs.,"78""",Orthodox,"Sep 26, 1981"
2637,Renee Forte,,8-4-0,"5' 7""",155 lbs.,"71""",Orthodox,"Mar 27, 1987"
2638,Brandon Foxworth,,18-4-0,"5' 11""",145 lbs.,--,Orthodox,"Apr 28, 1979"
2639,Ryo Kawamura,,12-6-4,"5' 11""",205 lbs.,--,Orthodox,"Jun 29, 1981"
2640,Tateki Matsuda,Tech,10-7-0,"5' 7""",125 lbs.,"65""",Orthodox,"Feb 27, 1986"
2641,Zachary Micklewright,,11-3-0,"6' 0""",155 lbs.,"74""",Southpaw,"Aug 21, 1976"
2642,Yair Rodriguez,El Pantera,12-2-0,"5' 11""",145 lbs.,"71""",,"Oct 06, 1992"
2643,Jamie Yager,The Chosyn 1,5-2-0,"6' 1""",185 lbs.,--,Orthodox,"Nov 29, 1983"
2644,Anthony Smith,Lionheart,31-13-0,"6' 4""",205 lbs.,"76""",Orthodox,"Jul 26, 1988"
2645,Landon Showalter,The Show,11-19-1,"6' 0""",185 lbs.,--,,"Jun 14, 1976"
2646,Rob Yundt,Monster,9-4-0,"6' 1""",185 lbs.,--,Orthodox,"May 05, 1980"
2647,Jonathan Meunier,The French Spider,8-1-0,"6' 3""",170 lbs.,"75""",Switch,"Aug 04, 1987"
2648,Paulo Filho,,22-4-2,"5' 8""",185 lbs.,--,Southpaw,"May 24, 1978"
2649,Nick Ertl,,8-6-0,"5' 9""",155 lbs.,--,,--
2650,Aleksei Kunchenko,,20-0-0,"5' 8""",170 lbs.,"70""",Orthodox,"May 02, 1984"
2651,Mario Sperry,Zen Machine,13-4-0,"6' 2""",205 lbs.,--,Orthodox,"Sep 28, 1966"
2652,Keith Wisniewski,The Polish Connection,28-13-1,"6' 0""",170 lbs.,"75""",Orthodox,"Oct 25, 1981"
2653,Alan Belcher,The Talent,17-7-0,"6' 2""",185 lbs.,"73""",Orthodox,"Apr 24, 1984"
2654,Justin Bruckmann,Loaf,7-3-0,"5' 9""",170 lbs.,--,Orthodox,--
2655,Jimi Manuwa,Poster Boy,17-5-0,"6' 1""",205 lbs.,"79""",Orthodox,"Feb 18, 1980"
2656,Ryan Hall,The Wizard,7-1-0,"5' 10""",155 lbs.,"71""",,"Feb 22, 1985"
2657,Wagner Silva,Wagnao,3-3-0,"6' 0""",170 lbs.,"71""",Orthodox,"Feb 07, 1987"
2658,Charles Rosa,Boston Strong,11-3-0,"5' 9""",145 lbs.,"69""",Switch,"Aug 24, 1986"
2659,Al Iaquinta,Raging,14-4-1,"5' 9""",155 lbs.,"70""",Orthodox,"Apr 30, 1987"
2660,Ryan Quinn,,13-7-1,"5' 8""",145 lbs.,--,,--
2661,Noad Lahat,Neo,9-2-0,"5' 9""",145 lbs.,"69""",Orthodox,"Jun 08, 1984"
2662,Andrews Nakahara,,3-2-2,"6' 1""",185 lbs.,--,Orthodox,"Mar 12, 1983"
2663,Ryan Benoit,Baby Face,10-5-0,"5' 5""",125 lbs.,"68""",Orthodox,"Aug 25, 1989"
2664,Tristan Arenal,,4-1-0,--,155 lbs.,--,,--
2665,Kevin Aguilar,The Angel of Death,16-1-0,"5' 7""",145 lbs.,"72""",Orthodox,"Sep 07, 1988"
2666,Rico Altamirano,,3-2-0,"5' 10""",170 lbs.,--,,--
2667,Kazuyuki Miyata,,11-8-0,"5' 8""",139 lbs.,--,Orthodox,--
2668,Jose Palacios,,3-2-0,"5' 9""",145 lbs.,--,Orthodox,--
2669,Lewis Gonzalez,Lethal,10-2-0,"5' 10""",170 lbs.,"73""",Orthodox,"Sep 19, 1987"
2670,Rafael Silva,Morcego,28-6-0,"5' 7""",135 lbs.,--,,"Mar 20, 1985"
2671,Matt Schnell,Danger,12-4-0,"5' 8""",125 lbs.,"70""",Orthodox,"Jan 15, 1990"
2672,Chris Inman,,1-0-0,--,--,--,,--
2673,Alexandre Franca Nogueira,Pequeno,13-6-2,"5' 7""",145 lbs.,--,Orthodox,"Jan 15, 1978"
2674,Jimmy Quinlan,Crash,3-1-1,"6' 0""",185 lbs.,"72""",Orthodox,"May 25, 1986"
2675,Marcelo Mello,,1-0-0,"5' 7""",170 lbs.,--,Southpaw,--
2676,Kristian Rothaermel,,4-3-0,"6' 0""",205 lbs.,--,Open Stance,"Jan 31, 1972"
2677,Andrew Craig,Highlight,9-4-0,"6' 1""",170 lbs.,"76""",Orthodox,"Jan 15, 1986"
2678,Kevin Burns,The Fire,9-5-0,"5' 10""",170 lbs.,"74""",Orthodox,"Mar 03, 1980"
2679,Nick Serra,The Mad Monkey,7-3-0,"5' 9""",170 lbs.,--,Orthodox,"Mar 27, 1978"
2680,Lukasz Sajewski,Wookie,13-3-0,"5' 8""",155 lbs.,"71""",Orthodox,"Nov 27, 1990"
2681,Mike Lullo,,8-3-0,"5' 8""",145 lbs.,--,Orthodox,"Jul 24, 1979"
2682,Ricky Rainey,The Sniper,13-6-0,"6' 1""",170 lbs.,"77""",Switch,"Jun 29, 1983"
2683,Joel Alvarez,El Fenomeno,15-1-0,"6' 3""",155 lbs.,"77""",Orthodox,"Mar 02, 1994"
2684,Raphael Assuncao,,27-6-0,"5' 5""",135 lbs.,"66""",Orthodox,"Jul 19, 1982"
2685,Chris Wright,,5-1-1,--,--,--,,--
2686,Rin Nakai,,16-2-1,"5' 1""",135 lbs.,"60""",Orthodox,"Oct 22, 1986"
2687,Nick Barnes,,11-2-0,"5' 11""",170 lbs.,--,,--
2688,Hirotaka Yokoi,Kaibatsu-Kun,11-5-0,"5' 11""",205 lbs.,--,Orthodox,"Jun 08, 1978"
2689,Mike Bencic,Batman,1-2-0,"6' 0""",215 lbs.,--,Orthodox,--
2690,Randy Brown,Rudeboy,10-3-0,"6' 3""",170 lbs.,"78""",Orthodox,"Jul 08, 1990"
2691,Jeremy Wallace,,4-5-0,"5' 9""",--,--,,--
2692,Akbarh Arreola,El Caballero,23-10-1,"5' 10""",155 lbs.,"71""",Southpaw,"Jan 14, 1983"
2693,Gerald Harris,,19-4-0,"5' 11""",185 lbs.,"77""",Southpaw,"Nov 19, 1979"
2694,Mackenzie Dern,,7-0-0,"5' 4""",115 lbs.,"63""",Orthodox,"Mar 24, 1993"
2695,Icho Larenas,,5-4-0,"6' 3""",235 lbs.,--,Orthodox,"Mar 12, 1980"
2696,Aaron Wilkinson,The Daywalker,7-5-0,"5' 10""",155 lbs.,--,,"Jan 31, 1987"
2697,Bubba McDaniel,The Menace,21-8-0,"6' 3""",185 lbs.,"75""",Southpaw,"May 03, 1983"
2698,Kyle Kurtz,,7-5-0,--,170 lbs.,--,,--
2699,Ray Routh,,2-1-0,"5' 8""",185 lbs.,--,Orthodox,--
2700,Mike Rio,The Wolverine,9-4-0,"5' 10""",155 lbs.,"71""",Orthodox,"Jul 06, 1981"
2701,Mike van Arsdale,,8-5-0,"6' 2""",205 lbs.,--,Switch,"Jun 20, 1965"
2702,Alex Enlund,,14-2-0 (1 NC),"5' 10""",145 lbs.,"73""",Orthodox,"May 27, 1987"
2703,Jesse Taylor,JT Money,33-15-0,"6' 0""",170 lbs.,"73""",Orthodox,"Jan 02, 1983"
2704,Eric Magana,,1-1-0,--,--,--,,--
2705,Rob Kimmons,The Rosedale Reaper,24-8-0,"5' 10""",185 lbs.,"73""",Orthodox,"Jan 30, 1981"
2706,Pawel Nastula,,4-4-0,"6' 0""",230 lbs.,--,Southpaw,"Jun 26, 1970"
2707,Josh Emmett,,13-2-0,"5' 6""",145 lbs.,"70""",Orthodox,"Mar 04, 1985"
2708,Austin Springer,,10-3-0,"5' 8""",145 lbs.,"71""",Orthodox,"May 12, 1987"
2709,Jon Jones,Bones,23-1-0 (1 NC),"6' 4""",205 lbs.,"84""",Orthodox,"Jul 19, 1987"
2710,Larry Parker,,13-6-1,"5' 11""",205 lbs.,--,Orthodox,--
2711,Shawn Teed,,5-1-0,"6' 5""",265 lbs.,"79""",Orthodox,"Feb 13, 1992"
2712,Kyle Bradley,,15-8-0 (1 NC),"5' 9""",155 lbs.,"71""",Orthodox,"Aug 19, 1982"
2713,Robert Densley,The Wrecker,9-10-0,"5' 9""",155 lbs.,--,,--
2714,Igor Pokrajac,The Duke,28-13-0 (1 NC),"6' 0""",205 lbs.,"76""",Orthodox,"Jan 02, 1979"
2715,Hussain Rasouli,,2-3-0,"5' 6""",135 lbs.,--,,--
2716,Nick Thompson,The Goat,38-14-1,"6' 1""",170 lbs.,"74""",Orthodox,"Jun 23, 1981"
2717,Dave Berry,,0-1-0,--,--,--,,--
2718,Logan Clark,,15-5-0,"6' 2""",185 lbs.,--,Orthodox,"Feb 16, 1985"
2719,Noah Thomas,,14-7-0,"5' 9""",135 lbs.,--,Orthodox,"Mar 27, 1981"
