,fighter_1,fighter_2,end_round,end_time,winner,url,date,f1_r1_kds,f1_r1_sigstrikes_l,f1_r1_sigstrikes_a,f1_r1_strikes_l,f1_r1_strikes_a,f1_r1_tds_l,f1_r1_tds_a,f1_r1_subs_a,f1_r1_passes,f1_r1_revs,f1_r1_ss_head_l,f1_r1_ss_head_a,f1_r1_ss_body_l,f1_r1_ss_body_a,f1_r1_ss_leg_l,f1_r1_ss_leg_a,f1_r1_ss_dist_l,f1_r1_ss_dist_a,f1_r1_ss_clinch_l,f1_r1_ss_clinch_a,f1_r1_ss_ground_l,f1_r1_ss_ground_a,f2_r1_kds,f2_r1_sigstrikes_l,f2_r1_sigstrikes_a,f2_r1_strikes_l,f2_r1_strikes_a,f2_r1_tds_l,f2_r1_tds_a,f2_r1_subs_a,f2_r1_passes,f2_r1_revs,f2_r1_ss_head_l,f2_r1_ss_head_a,f2_r1_ss_body_l,f2_r1_ss_body_a,f2_r1_ss_leg_l,f2_r1_ss_leg_a,f2_r1_ss_dist_l,f2_r1_ss_dist_a,f2_r1_ss_clinch_l,f2_r1_ss_clinch_a,f2_r1_ss_ground_l,f2_r1_ss_ground_a,f1_r2_kds,f1_r2_sigstrikes_l,f1_r2_sigstrikes_a,f1_r2_strikes_l,f1_r2_strikes_a,f1_r2_tds_l,f1_r2_tds_a,f1_r2_subs_a,f1_r2_passes,f1_r2_revs,f1_r2_ss_head_l,f1_r2_ss_head_a,f1_r2_ss_body_l,f1_r2_ss_body_a,f1_r2_ss_leg_l,f1_r2_ss_leg_a,f1_r2_ss_dist_l,f1_r2_ss_dist_a,f1_r2_ss_clinch_l,f1_r2_ss_clinch_a,f1_r2_ss_ground_l,f1_r2_ss_ground_a,f2_r2_kds,f2_r2_sigstrikes_l,f2_r2_sigstrikes_a,f2_r2_strikes_l,f2_r2_strikes_a,f2_r2_tds_l,f2_r2_tds_a,f2_r2_subs_a,f2_r2_passes,f2_r2_revs,f2_r2_ss_head_l,f2_r2_ss_head_a,f2_r2_ss_body_l,f2_r2_ss_body_a,f2_r2_ss_leg_l,f2_r2_ss_leg_a,f2_r2_ss_dist_l,f2_r2_ss_dist_a,f2_r2_ss_clinch_l,f2_r2_ss_clinch_a,f2_r2_ss_ground_l,f2_r2_ss_ground_a,f1_r3_kds,f1_r3_sigstrikes_l,f1_r3_sigstrikes_a,f1_r3_strikes_l,f1_r3_strikes_a,f1_r3_tds_l,f1_r3_tds_a,f1_r3_subs_a,f1_r3_passes,f1_r3_revs,f1_r3_ss_head_l,f1_r3_ss_head_a,f1_r3_ss_body_l,f1_r3_ss_body_a,f1_r3_ss_leg_l,f1_r3_ss_leg_a,f1_r3_ss_dist_l,f1_r3_ss_dist_a,f1_r3_ss_clinch_l,f1_r3_ss_clinch_a,f1_r3_ss_ground_l,f1_r3_ss_ground_a,f2_r3_kds,f2_r3_sigstrikes_l,f2_r3_sigstrikes_a,f2_r3_strikes_l,f2_r3_strikes_a,f2_r3_tds_l,f2_r3_tds_a,f2_r3_subs_a,f2_r3_passes,f2_r3_revs,f2_r3_ss_head_l,f2_r3_ss_head_a,f2_r3_ss_body_l,f2_r3_ss_body_a,f2_r3_ss_leg_l,f2_r3_ss_leg_a,f2_r3_ss_dist_l,f2_r3_ss_dist_a,f2_r3_ss_clinch_l,f2_r3_ss_clinch_a,f2_r3_ss_ground_l,f2_r3_ss_ground_a,f1_r4_kds,f1_r4_sigstrikes_l,f1_r4_sigstrikes_a,f1_r4_strikes_l,f1_r4_strikes_a,f1_r4_tds_l,f1_r4_tds_a,f1_r4_subs_a,f1_r4_passes,f1_r4_revs,f1_r4_ss_head_l,f1_r4_ss_head_a,f1_r4_ss_body_l,f1_r4_ss_body_a,f1_r4_ss_leg_l,f1_r4_ss_leg_a,f1_r4_ss_dist_l,f1_r4_ss_dist_a,f1_r4_ss_clinch_l,f1_r4_ss_clinch_a,f1_r4_ss_ground_l,f1_r4_ss_ground_a,f2_r4_kds,f2_r4_sigstrikes_l,f2_r4_sigstrikes_a,f2_r4_strikes_l,f2_r4_strikes_a,f2_r4_tds_l,f2_r4_tds_a,f2_r4_subs_a,f2_r4_passes,f2_r4_revs,f2_r4_ss_head_l,f2_r4_ss_head_a,f2_r4_ss_body_l,f2_r4_ss_body_a,f2_r4_ss_leg_l,f2_r4_ss_leg_a,f2_r4_ss_dist_l,f2_r4_ss_dist_a,f2_r4_ss_clinch_l,f2_r4_ss_clinch_a,f2_r4_ss_ground_l,f2_r4_ss_ground_a,f1_r5_kds,f1_r5_sigstrikes_l,f1_r5_sigstrikes_a,f1_r5_strikes_l,f1_r5_strikes_a,f1_r5_tds_l,f1_r5_tds_a,f1_r5_subs_a,f1_r5_passes,f1_r5_revs,f1_r5_ss_head_l,f1_r5_ss_head_a,f1_r5_ss_body_l,f1_r5_ss_body_a,f1_r5_ss_leg_l,f1_r5_ss_leg_a,f1_r5_ss_dist_l,f1_r5_ss_dist_a,f1_r5_ss_clinch_l,f1_r5_ss_clinch_a,f1_r5_ss_ground_l,f1_r5_ss_ground_a,f2_r5_kds,f2_r5_sigstrikes_l,f2_r5_sigstrikes_a,f2_r5_strikes_l,f2_r5_strikes_a,f2_r5_tds_l,f2_r5_tds_a,f2_r5_subs_a,f2_r5_passes,f2_r5_revs,f2_r5_ss_head_l,f2_r5_ss_head_a,f2_r5_ss_body_l,f2_r5_ss_body_a,f2_r5_ss_leg_l,f2_r5_ss_leg_a,f2_r5_ss_dist_l,f2_r5_ss_dist_a,f2_r5_ss_clinch_l,f2_r5_ss_clinch_a,f2_r5_ss_ground_l,f2_r5_ss_ground_a
221,Mickey Gall,"George Sullivan ""The Silencer""",1,1:09,Mickey Gall,http://ufcstats.com/fight-details/67e1ec8ee2db3423,2018-08-25,0,0,2,2,6,1,1,1,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,2,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,"Joanne Calderwood ""JoJo""",Kalindra Faria,1,4:57,"Joanne Calderwood ""JoJo""",http://ufcstats.com/fight-details/9115354413739aa8,2018-08-25,0,5,6,24,29,0,0,2,0,0,4,5,0,0,1,1,1,2,0,0,4,4,0,13,17,27,34,1,1,0,3,0,4,5,0,0,1,1,1,2,0,0,4,4,0,5,6,24,29,0,0,2,0,0,10,13,3,4,0,0,2,4,1,1,10,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,Drew Dober,"Jon Tuck ""Super Saiyan""",3,5:00,Drew Dober,http://ufcstats.com/fight-details/047d6739aa1d5c1e,2018-08-25,0,20,62,24,66,0,0,0,0,0,9,45,5,8,6,9,18,60,2,2,0,0,0,13,34,13,34,0,0,0,0,0,9,45,5,8,6,9,18,60,2,2,0,0,0,20,62,24,66,0,0,0,0,0,4,21,5,9,4,4,13,34,0,0,0,0,0,11,28,16,33,0,1,1,0,0,15,31,3,4,3,3,11,26,1,1,9,11,0,21,38,44,66,1,1,0,2,0,9,25,2,3,0,0,8,22,0,1,3,5,0,9,13,10,14,0,0,0,0,0,18,35,1,1,0,0,7,22,0,0,12,14,0,19,36,54,76,1,1,0,1,0,3,7,3,3,3,3,8,12,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,Rani Yahya,"Luke Sanders ""Cool Hand""",1,1:31,Rani Yahya,http://ufcstats.com/fight-details/5362ea7c63432cf9,2018-08-25,0,4,8,4,8,0,2,2,0,0,1,4,1,1,2,3,4,8,0,0,0,0,0,2,4,2,4,0,0,0,0,0,1,4,1,1,2,3,4,8,0,0,0,0,0,4,8,4,8,0,2,2,0,0,2,4,0,0,0,0,2,3,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,TJ Dillashaw,"Cody Garbrandt ""No Love""",1,4:10,TJ Dillashaw,http://ufcstats.com/fight-details/de32c5a78aaf89e9,2018-08-04,2,45,72,51,78,0,0,0,0,0,37,60,5,6,3,6,16,38,15,16,14,18,0,17,43,17,43,0,2,0,0,0,37,60,5,6,3,6,16,38,15,16,14,18,2,45,72,51,78,0,0,0,0,0,14,37,2,5,1,1,14,39,3,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,"Demetrious Johnson ""Mighty Mouse""","Henry Cejudo ""The Messenger""",5,5:00,"Demetrious Johnson ""Mighty Mouse""",http://ufcstats.com/fight-details/f2ca358ea9bec156,2018-08-04,0,21,32,21,32,0,0,0,0,0,5,10,4,6,12,16,20,31,1,1,0,0,0,4,29,4,29,0,1,0,0,0,5,10,4,6,12,16,20,31,1,1,0,0,0,21,32,21,32,0,0,0,0,0,4,28,0,1,0,0,1,24,3,5,0,0,0,11,33,19,42,1,2,0,1,0,4,11,5,5,6,13,14,27,1,2,0,0,0,15,29,30,44,0,1,0,0,0,5,24,5,7,1,2,9,30,2,3,0,0,0,10,30,12,32,0,3,0,0,0,5,13,6,6,9,9,17,25,2,2,1,1,0,20,28,32,40,1,1,0,0,0,6,24,3,4,1,2,8,27,2,3,0,0,0,9,19,22,32,1,1,0,1,0,3,12,1,1,5,5,8,17,1,1,0,0,0,9,18,18,27,0,0,0,0,0,5,15,3,3,1,1,4,11,2,3,3,5,0,17,36,23,43,1,4,0,0,0,6,16,3,3,7,8,14,25,2,2,0,0
227,Cub Swanson,"Renato Moicano ""Moicano""",1,4:15,Cub Swanson,http://ufcstats.com/fight-details/520f6379fefd8fda,2018-08-04,0,20,38,20,38,0,0,0,0,0,5,19,3,5,12,14,20,38,0,0,0,0,1,17,47,23,53,1,2,1,4,0,5,19,3,5,12,14,20,38,0,0,0,0,0,20,38,20,38,0,0,0,0,0,14,42,2,3,1,2,8,33,2,2,7,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,"Polyana Viana ""Dama de Ferro""",JJ Aldrich,3,5:00,"Polyana Viana ""Dama de Ferro""",http://ufcstats.com/fight-details/d2f6b87189908088,2018-08-04,0,15,24,27,38,0,3,0,0,0,5,13,6,7,4,4,11,19,4,5,0,0,0,8,14,9,16,0,0,0,0,0,5,13,6,7,4,4,11,19,4,5,0,0,0,15,24,27,38,0,3,0,0,0,6,12,2,2,0,0,3,9,5,5,0,0,0,18,39,21,42,0,1,0,1,0,14,51,8,13,3,3,23,64,2,3,0,0,0,25,67,28,70,1,2,0,1,0,17,36,1,3,0,0,16,36,1,2,1,1,0,14,30,20,38,0,0,0,0,0,5,33,1,4,0,1,3,33,0,0,3,5,0,6,38,31,67,0,0,0,0,0,13,29,0,0,1,1,12,28,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,"Thiago Santos ""Marreta""","Kevin Holland ""Trailblazer""",3,5:00,"Thiago Santos ""Marreta""",http://ufcstats.com/fight-details/3b03f8d3a55f3cb2,2018-08-04,0,30,74,37,83,0,1,0,0,0,23,66,5,6,2,2,4,9,0,1,26,64,0,7,19,21,37,0,0,1,0,0,23,66,5,6,2,2,4,9,0,1,26,64,0,30,74,37,83,0,1,0,0,0,4,14,0,2,3,3,3,13,0,0,4,6,0,20,28,42,50,0,0,0,2,0,6,18,5,7,3,3,8,17,2,4,4,7,0,14,28,14,28,2,5,0,2,0,13,20,5,6,2,2,11,19,1,1,8,8,0,4,8,18,23,0,1,0,0,0,21,47,4,4,0,0,8,18,0,0,17,33,0,25,51,30,56,1,1,1,6,0,3,7,1,1,0,0,3,7,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,"Pedro Munhoz ""The Young Punisher""","Brett Johns ""The Pikey""",3,5:00,"Pedro Munhoz ""The Young Punisher""",http://ufcstats.com/fight-details/c8a9d3917d77ede2,2018-08-04,0,50,113,52,115,0,2,0,0,0,33,88,6,11,11,14,40,99,10,14,0,0,0,32,91,33,92,0,2,0,0,0,33,88,6,11,11,14,40,99,10,14,0,0,0,50,113,52,115,0,2,0,0,0,25,82,5,6,2,3,31,90,1,1,0,0,0,33,62,36,67,0,3,0,0,0,42,88,7,15,10,15,31,64,8,17,20,37,3,59,118,69,128,0,1,1,2,0,31,60,2,2,0,0,28,57,5,5,0,0,0,8,15,13,21,0,1,0,0,0,3,6,3,5,2,3,7,11,0,1,1,2,0,8,14,39,49,0,1,0,2,0,5,11,3,4,0,0,6,11,2,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,Ricky Simon,"Montel Jackson ""Quik""",3,5:00,Ricky Simon,http://ufcstats.com/fight-details/e57a78a422439774,2018-08-04,0,10,21,11,22,2,7,0,0,0,2,13,6,6,2,2,7,18,3,3,0,0,0,10,35,18,43,0,0,0,0,0,2,13,6,6,2,2,7,18,3,3,0,0,0,10,21,11,22,2,7,0,0,0,5,28,4,6,1,1,6,27,4,8,0,0,0,10,28,12,30,1,1,0,0,0,4,14,3,4,5,5,10,21,2,2,0,0,0,12,23,23,36,1,6,0,1,0,8,25,2,2,0,1,7,23,1,2,2,3,0,22,31,25,34,1,1,0,0,0,1,4,1,4,1,1,1,5,2,3,0,1,0,3,9,10,17,4,7,0,3,0,14,23,7,7,1,1,10,16,11,13,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,Ricardo Ramos,"Kyung Ho Kang ""Mr. Perfect""",3,5:00,Ricardo Ramos,http://ufcstats.com/fight-details/65223fa6055df489,2018-08-04,0,17,67,17,67,0,0,0,0,0,13,53,0,2,4,12,17,66,0,1,0,0,0,22,53,24,55,1,2,0,1,0,13,53,0,2,4,12,17,66,0,1,0,0,0,17,67,17,67,0,0,0,0,0,12,43,2,2,8,8,22,53,0,0,0,0,0,13,29,42,63,0,0,0,0,0,10,23,4,6,1,1,12,26,0,0,3,4,0,15,30,24,40,1,1,1,0,0,8,21,0,1,5,7,8,23,0,0,5,6,0,30,75,35,80,0,0,0,0,0,17,41,2,5,3,3,21,48,1,1,0,0,0,22,49,22,50,0,1,0,0,0,18,56,4,9,8,10,30,75,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,"Matt Sayles ""Robo""",Sheymon Moraes,3,5:00,"Matt Sayles ""Robo""",http://ufcstats.com/fight-details/e85e83ab4e60e768,2018-08-04,0,16,60,16,60,0,1,0,0,0,4,43,8,10,4,7,10,50,6,10,0,0,0,22,50,23,51,0,1,0,0,0,4,43,8,10,4,7,10,50,6,10,0,0,0,16,60,16,60,0,1,0,0,0,7,31,15,17,0,2,15,42,7,8,0,0,0,30,72,30,72,0,0,0,0,0,14,60,5,10,6,7,24,76,1,1,0,0,0,25,77,25,77,0,2,0,0,0,13,48,15,22,2,2,28,70,2,2,0,0,0,21,50,24,54,0,3,0,0,0,21,82,10,10,5,6,33,94,3,4,0,0,0,36,98,38,100,0,0,0,0,0,11,34,10,16,0,0,21,49,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,Alex Perez,"Jose Torres ""Shorty""",1,3:46,Alex Perez,http://ufcstats.com/fight-details/866729ea2ceddb25,2018-08-04,1,84,162,88,166,0,3,0,0,0,67,139,11,16,6,7,64,133,20,29,0,0,0,29,76,30,77,0,0,0,0,0,67,139,11,16,6,7,64,133,20,29,0,0,1,84,162,88,166,0,3,0,0,0,22,67,7,9,0,0,25,71,4,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,"Danielle Taylor ""Dynamite""","Zhang Weili ""Magnum""",3,5:00,"Danielle Taylor ""Dynamite""",http://ufcstats.com/fight-details/5d8a1daadda47ace,2018-08-04,0,9,29,10,30,0,1,1,0,0,6,25,2,3,1,1,6,26,3,3,0,0,0,27,61,33,67,1,2,0,1,0,6,25,2,3,1,1,6,26,3,3,0,0,0,9,29,10,30,0,1,1,0,0,10,35,9,10,8,16,21,52,4,7,2,2,0,24,70,24,70,0,0,0,0,0,8,35,4,5,1,2,13,42,0,0,0,0,0,13,42,13,42,0,0,0,0,0,9,37,4,13,11,20,24,70,0,0,0,0,0,26,63,26,63,0,0,0,0,0,8,44,2,3,2,5,12,52,0,0,0,0,0,12,52,12,52,0,0,0,0,0,12,35,2,7,12,21,26,63,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,"Marlon Vera ""Chito""","Wuliji Buren ""Beast Master""",2,4:53,"Marlon Vera ""Chito""",http://ufcstats.com/fight-details/8e971c1ec4b981cc,2018-08-04,0,15,32,21,38,0,2,0,0,0,4,18,3,5,8,9,14,30,1,1,0,1,0,18,37,26,46,1,2,0,0,0,4,18,3,5,8,9,14,30,1,1,0,1,0,15,32,21,38,0,2,0,0,0,5,16,8,12,5,9,11,30,6,6,1,1,0,13,24,23,34,1,2,0,0,0,20,40,5,8,5,6,16,37,7,8,7,9,1,30,54,38,64,1,2,0,1,0,11,16,1,7,1,1,8,18,0,1,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,"Eddie Alvarez ""The Underground King""","Dustin Poirier ""The Diamond""",2,4:05,"Eddie Alvarez ""The Underground King""",http://ufcstats.com/fight-details/bd1fc4ff619f4e61,2018-07-28,0,18,47,18,47,0,2,0,0,0,5,29,9,12,4,6,17,44,1,3,0,0,0,20,63,20,63,0,0,0,0,0,5,29,9,12,4,6,17,44,1,3,0,0,0,18,47,18,47,0,2,0,0,0,13,53,1,2,6,8,19,62,1,1,0,0,1,34,52,56,75,0,0,2,0,0,5,24,1,3,2,2,4,23,0,0,4,6,0,8,29,17,41,0,1,1,1,0,31,48,3,4,0,0,28,46,6,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,Jose Aldo,"Jeremy Stephens ""Lil' Heathen""",1,4:19,Jose Aldo,http://ufcstats.com/fight-details/6b47093b62155478,2018-07-28,1,29,63,29,63,0,0,0,1,0,21,55,3,3,5,5,16,41,1,1,12,21,0,20,60,20,60,0,0,0,0,0,21,55,3,3,5,5,16,41,1,1,12,21,1,29,63,29,63,0,0,0,1,0,16,55,2,3,2,2,16,52,4,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,Joanna Jedrzejczyk,"Tecia Torres ""The Tiny Tornado""",3,5:00,Joanna Jedrzejczyk,http://ufcstats.com/fight-details/0b2ae6c368369d1b,2018-07-28,0,12,27,23,38,0,0,0,0,0,4,16,8,11,0,0,1,13,11,14,0,0,0,1,3,13,16,0,5,0,0,0,4,16,8,11,0,0,1,13,11,14,0,0,0,12,27,23,38,0,0,0,0,0,0,2,0,0,1,1,1,3,0,0,0,0,0,20,42,24,46,0,2,0,0,0,6,46,8,11,9,9,21,60,2,6,0,0,0,23,66,25,68,0,0,0,0,0,8,23,2,2,10,17,17,38,3,4,0,0,0,12,33,17,38,0,3,0,0,0,11,51,11,16,5,6,18,61,9,12,0,0,0,27,73,33,79,0,0,0,0,0,3,19,0,0,9,14,11,32,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,"Alexander Hernandez ""The Great""","Olivier Aubin-Mercier ""The Canadian Gangster""",3,5:00,"Alexander Hernandez ""The Great""",http://ufcstats.com/fight-details/ef2c7bfced561374,2018-07-28,0,15,37,26,48,1,4,0,0,0,6,22,9,13,0,2,5,23,10,14,0,0,0,15,24,28,37,0,0,0,0,0,6,22,9,13,0,2,5,23,10,14,0,0,0,15,37,26,48,1,4,0,0,0,6,14,7,7,2,3,8,17,7,7,0,0,0,2,4,7,9,1,2,1,2,0,3,6,4,6,0,0,2,5,5,7,0,0,0,7,12,22,29,1,4,0,0,0,0,1,2,3,0,0,0,2,2,2,0,0,0,2,4,2,4,1,4,0,1,0,15,27,2,5,0,0,3,9,2,4,12,19,0,17,32,38,60,2,2,0,2,1,2,3,0,1,0,0,1,2,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,"Jordan Mein ""Young Gun""","Alex Morono ""The Great White""",3,5:00,"Jordan Mein ""Young Gun""",http://ufcstats.com/fight-details/77be83973766e104,2018-07-28,0,5,15,13,25,2,2,0,3,0,3,13,1,1,1,1,3,13,0,0,2,2,0,10,32,36,61,0,0,0,0,0,3,13,1,1,1,1,3,13,0,0,2,2,0,5,15,13,25,2,2,0,3,0,8,29,1,2,1,1,8,30,0,0,2,2,0,3,14,15,26,0,0,0,0,0,5,11,1,1,1,1,1,4,0,0,6,9,0,7,13,12,18,1,1,0,1,0,2,13,0,0,1,1,1,8,0,0,2,6,0,7,21,7,21,0,0,1,3,0,1,8,1,1,0,1,2,9,0,0,0,1,0,2,10,2,10,0,1,0,1,1,5,17,2,3,0,1,7,19,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,"Hakeem Dawodu ""Mean""","Austin Arnett ""Golden Boy""",3,5:00,"Hakeem Dawodu ""Mean""",http://ufcstats.com/fight-details/11c851a73ffb55ba,2018-07-28,0,17,25,17,25,0,0,0,0,0,1,5,0,2,16,18,17,25,0,0,0,0,0,0,7,0,7,0,2,0,0,0,1,5,0,2,16,18,17,25,0,0,0,0,0,17,25,17,25,0,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,19,46,19,46,0,0,0,0,0,16,58,4,9,11,12,31,79,0,0,0,0,0,31,79,31,79,0,1,0,0,0,19,46,0,0,0,0,19,46,0,0,0,0,0,4,15,4,15,0,2,0,0,0,11,45,4,7,12,14,22,55,5,11,0,0,0,27,66,32,72,0,0,0,0,0,3,14,1,1,0,0,3,14,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,"Kajan Johnson ""Ragin'""",Islam Makhachev,1,4:43,"Kajan Johnson ""Ragin'""",http://ufcstats.com/fight-details/e54c16d867875738,2018-07-28,0,7,17,7,17,0,0,0,0,0,0,6,3,5,4,6,7,17,0,0,0,0,0,7,18,14,26,1,1,1,2,0,0,6,3,5,4,6,7,17,0,0,0,0,0,7,17,7,17,0,0,0,0,0,6,17,1,1,0,0,1,9,0,0,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,Gadzhimurad Antigulov,"Ion Cutelaba ""The Hulk""",1,4:25,Gadzhimurad Antigulov,http://ufcstats.com/fight-details/95f37dc43e808ebf,2018-07-28,0,12,18,16,22,3,8,0,0,0,8,14,3,3,1,1,0,2,9,10,3,6,0,40,46,40,46,0,0,0,0,0,8,14,3,3,1,1,0,2,9,10,3,6,0,12,18,16,22,3,8,0,0,0,27,31,13,15,0,0,2,4,38,42,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,"John Makdessi ""The Bull""","Ross Pearson ""The Real Deal""",3,5:00,"John Makdessi ""The Bull""",http://ufcstats.com/fight-details/3249bbbb7ce837ef,2018-07-28,0,30,64,30,64,0,0,0,0,0,17,44,1,4,12,16,30,64,0,0,0,0,0,27,65,27,65,0,0,0,0,0,17,44,1,4,12,16,30,64,0,0,0,0,0,30,64,30,64,0,0,0,0,0,14,48,1,4,12,13,27,65,0,0,0,0,0,30,89,30,89,0,0,0,0,0,27,65,10,14,4,4,39,79,2,4,0,0,0,41,83,41,83,0,0,0,0,0,21,74,6,6,3,9,30,89,0,0,0,0,0,22,70,24,72,0,2,0,0,0,55,102,2,7,3,5,51,101,9,13,0,0,0,60,114,63,118,0,0,0,0,0,16,60,2,5,4,5,22,69,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,Alexis Davis,"Katlyn Chookagian ""Blonde Fighter""",3,5:00,Alexis Davis,http://ufcstats.com/fight-details/c4253cb471013765,2018-07-28,0,24,73,24,73,0,0,0,0,0,7,53,4,7,13,13,20,69,4,4,0,0,0,17,65,17,65,0,0,0,0,0,7,53,4,7,13,13,20,69,4,4,0,0,0,24,73,24,73,0,0,0,0,0,14,62,2,2,1,1,17,65,0,0,0,0,0,24,69,24,69,0,0,0,0,0,7,42,5,7,15,18,27,67,0,0,0,0,0,27,67,27,67,0,0,0,0,0,17,61,5,6,2,2,24,69,0,0,0,0,0,21,68,21,68,0,0,0,0,0,10,46,1,3,8,12,19,60,0,1,0,0,0,19,61,26,68,1,2,0,0,0,19,65,2,3,0,0,20,67,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
